pair_id,reference_path,search_path,gt_x,gt_y,pred_x,pred_y,error_px,inference_time_ms,architecture,noise_type
pair_041,all_60_pairs/pair_041/reference.png,all_60_pairs/pair_041/search.png,430,620,430,620,0.0,48.45,N/A,N/A
pair_042,all_60_pairs/pair_042/reference.png,all_60_pairs/pair_042/search.png,500,310,500,310,0.0,68.05,N/A,N/A
pair_043,all_60_pairs/pair_043/reference.png,all_60_pairs/pair_043/search.png,610,380,610,380,0.0,71.52,N/A,N/A
pair_044,all_60_pairs/pair_044/reference.png,all_60_pairs/pair_044/search.png,500,310,500,310,0.0,46.88,N/A,N/A
pair_045,all_60_pairs/pair_045/reference.png,all_60_pairs/pair_045/search.png,380,570,380,570,0.0,47.84,N/A,N/A
pair_046,all_60_pairs/pair_046/reference.png,all_60_pairs/pair_046/search.png,500,310,500,310,0.0,49.27,N/A,N/A
pair_047,all_60_pairs/pair_047/reference.png,all_60_pairs/pair_047/search.png,570,430,570,430,0.0,56.01,N/A,N/A
pair_048,all_60_pairs/pair_048/reference.png,all_60_pairs/pair_048/search.png,500,310,500,310,0.0,63.43,N/A,N/A
pair_049,all_60_pairs/pair_049/reference.png,all_60_pairs/pair_049/search.png,420,630,420,630,0.0,48.87,N/A,N/A
pair_050,all_60_pairs/pair_050/reference.png,all_60_pairs/pair_050/search.png,500,310,500,310,0.0,49.13,N/A,N/A
pair_051,all_60_pairs/pair_051/reference.png,all_60_pairs/pair_051/search.png,630,370,630,370,0.0,48.23,N/A,N/A
pair_052,all_60_pairs/pair_052/reference.png,all_60_pairs/pair_052/search.png,500,310,500,310,0.0,47.54,N/A,N/A
pair_053,all_60_pairs/pair_053/reference.png,all_60_pairs/pair_053/search.png,390,560,390,560,0.0,51.21,N/A,N/A
pair_054,all_60_pairs/pair_054/reference.png,all_60_pairs/pair_054/search.png,500,310,500,310,0.0,46.79,N/A,N/A
pair_055,all_60_pairs/pair_055/reference.png,all_60_pairs/pair_055/search.png,580,410,580,410,0.0,50.6,N/A,N/A
pair_056,all_60_pairs/pair_056/reference.png,all_60_pairs/pair_056/search.png,500,310,500,310,0.0,47.8,N/A,N/A
pair_057,all_60_pairs/pair_057/reference.png,all_60_pairs/pair_057/search.png,440,630,440,630,0.0,49.05,N/A,N/A
pair_058,all_60_pairs/pair_058/reference.png,all_60_pairs/pair_058/search.png,500,310,500,310,0.0,47.76,N/A,N/A
pair_059,all_60_pairs/pair_059/reference.png,all_60_pairs/pair_059/search.png,610,390,610,390,0.0,48.71,N/A,N/A
pair_060,all_60_pairs/pair_060/reference.png,all_60_pairs/pair_060/search.png,500,310,500,310,0.0,83.16,N/A,N/A
