pair_id,reference_path,search_path,gt_x,gt_y,pred_x,pred_y,error_px,inference_time_ms,architecture,noise_type
pair_019,model/all_60_pairs/pair_019/reference.png,model/all_60_pairs/pair_019/search.png,610,360,610,360,0.0,44.42,N/A,N/A
pair_020,model/all_60_pairs/pair_020/reference.png,model/all_60_pairs/pair_020/search.png,488,314,392,314,96.0,43.6,N/A,N/A
pair_021,model/all_60_pairs/pair_021/reference.png,model/all_60_pairs/pair_021/search.png,370,550,370,550,0.0,42.29,N/A,N/A
pair_022,model/all_60_pairs/pair_022/reference.png,model/all_60_pairs/pair_022/search.png,500,310,500,310,0.0,44.9,N/A,N/A
pair_023,model/all_60_pairs/pair_023/reference.png,model/all_60_pairs/pair_023/search.png,590,440,590,440,0.0,42.72,N/A,N/A
pair_024,model/all_60_pairs/pair_024/reference.png,model/all_60_pairs/pair_024/search.png,500,310,500,312,2.0,42.71,N/A,N/A
pair_025,model/all_60_pairs/pair_025/reference.png,model/all_60_pairs/pair_025/search.png,420,610,420,610,0.0,40.2,N/A,N/A
pair_026,model/all_60_pairs/pair_026/reference.png,model/all_60_pairs/pair_026/search.png,500,310,500,310,0.0,34.07,N/A,N/A
pair_027,model/all_60_pairs/pair_027/reference.png,model/all_60_pairs/pair_027/search.png,630,390,630,390,0.0,43.83,N/A,N/A
pair_028,model/all_60_pairs/pair_028/reference.png,model/all_60_pairs/pair_028/search.png,500,310,500,310,0.0,42.61,N/A,N/A
pair_029,model/all_60_pairs/pair_029/reference.png,model/all_60_pairs/pair_029/search.png,390,580,390,580,0.0,45.35,N/A,N/A
pair_030,model/all_60_pairs/pair_030/reference.png,model/all_60_pairs/pair_030/search.png,500,310,528,310,28.0,44.33,N/A,N/A
pair_031,model/all_60_pairs/pair_031/reference.png,model/all_60_pairs/pair_031/search.png,580,430,580,430,0.0,42.76,N/A,N/A
pair_032,model/all_60_pairs/pair_032/reference.png,model/all_60_pairs/pair_032/search.png,500,310,500,310,0.0,42.69,N/A,N/A
pair_033,model/all_60_pairs/pair_033/reference.png,model/all_60_pairs/pair_033/search.png,440,610,440,610,0.0,42.36,N/A,N/A
pair_034,model/all_60_pairs/pair_034/reference.png,model/all_60_pairs/pair_034/search.png,500,310,500,310,0.0,42.98,N/A,N/A
pair_035,model/all_60_pairs/pair_035/reference.png,model/all_60_pairs/pair_035/search.png,620,370,620,370,0.0,46.85,N/A,N/A
pair_036,model/all_60_pairs/pair_036/reference.png,model/all_60_pairs/pair_036/search.png,500,310,500,310,0.0,45.08,N/A,N/A
pair_037,model/all_60_pairs/pair_037/reference.png,model/all_60_pairs/pair_037/search.png,370,560,370,560,0.0,59.94,N/A,N/A
pair_038,model/all_60_pairs/pair_038/reference.png,model/all_60_pairs/pair_038/search.png,500,310,500,310,0.0,42.28,N/A,N/A
pair_039,model/all_60_pairs/pair_039/reference.png,model/all_60_pairs/pair_039/search.png,560,410,560,410,0.0,42.24,N/A,N/A
pair_040,model/all_60_pairs/pair_040/reference.png,model/all_60_pairs/pair_040/search.png,500,310,500,310,0.0,42.9,N/A,N/A
pair_041,model/all_60_pairs/pair_041/reference.png,model/all_60_pairs/pair_041/search.png,430,620,430,620,0.0,43.95,N/A,N/A
pair_042,model/all_60_pairs/pair_042/reference.png,model/all_60_pairs/pair_042/search.png,500,310,500,310,0.0,42.81,N/A,N/A
pair_043,model/all_60_pairs/pair_043/reference.png,model/all_60_pairs/pair_043/search.png,610,380,610,380,0.0,43.03,N/A,N/A
pair_044,model/all_60_pairs/pair_044/reference.png,model/all_60_pairs/pair_044/search.png,500,310,500,310,0.0,43.12,N/A,N/A
pair_045,model/all_60_pairs/pair_045/reference.png,model/all_60_pairs/pair_045/search.png,380,570,380,570,0.0,43.03,N/A,N/A
pair_046,model/all_60_pairs/pair_046/reference.png,model/all_60_pairs/pair_046/search.png,500,310,500,310,0.0,42.54,N/A,N/A
pair_047,model/all_60_pairs/pair_047/reference.png,model/all_60_pairs/pair_047/search.png,570,430,570,430,0.0,40.82,N/A,N/A
pair_048,model/all_60_pairs/pair_048/reference.png,model/all_60_pairs/pair_048/search.png,500,310,500,310,0.0,40.97,N/A,N/A
pair_049,model/all_60_pairs/pair_049/reference.png,model/all_60_pairs/pair_049/search.png,420,630,420,630,0.0,42.04,N/A,N/A
pair_050,model/all_60_pairs/pair_050/reference.png,model/all_60_pairs/pair_050/search.png,500,310,500,310,0.0,39.29,N/A,N/A
pair_051,model/all_60_pairs/pair_051/reference.png,model/all_60_pairs/pair_051/search.png,630,370,630,370,0.0,41.76,N/A,N/A
pair_052,model/all_60_pairs/pair_052/reference.png,model/all_60_pairs/pair_052/search.png,500,310,500,310,0.0,42.55,N/A,N/A
pair_053,model/all_60_pairs/pair_053/reference.png,model/all_60_pairs/pair_053/search.png,390,560,390,560,0.0,42.86,N/A,N/A
pair_054,model/all_60_pairs/pair_054/reference.png,model/all_60_pairs/pair_054/search.png,500,310,500,310,0.0,43.16,N/A,N/A
pair_055,model/all_60_pairs/pair_055/reference.png,model/all_60_pairs/pair_055/search.png,580,410,580,410,0.0,43.37,N/A,N/A
pair_056,model/all_60_pairs/pair_056/reference.png,model/all_60_pairs/pair_056/search.png,500,310,500,310,0.0,42.85,N/A,N/A
pair_057,model/all_60_pairs/pair_057/reference.png,model/all_60_pairs/pair_057/search.png,440,630,440,630,0.0,41.49,N/A,N/A
pair_058,model/all_60_pairs/pair_058/reference.png,model/all_60_pairs/pair_058/search.png,500,310,500,310,0.0,41.41,N/A,N/A
pair_059,model/all_60_pairs/pair_059/reference.png,model/all_60_pairs/pair_059/search.png,610,390,610,390,0.0,40.56,N/A,N/A
pair_060,model/all_60_pairs/pair_060/reference.png,model/all_60_pairs/pair_060/search.png,500,310,500,310,0.0,41.21,N/A,N/A
